# USPS Abbreviations


AK	Alaska               
AL	Alabama              
AR	Arkansas 
AZ	Arizona              
CA	California           
CO	Colorado 
CT	Connecticut          
DC	Dist of Columbia   
DE	Delaware 
FL	Florida              
GA	Georgia              
GU	Guam  
HI	Hawaii               
IA	Iowa                 
ID	Idaho 
IL	Illinois             
IN	Indiana              
KS	Kansas 
KY	Kentucky             
LA	Louisiana            
MA	Massachusetts 
MD	Maryland             
ME	Maine                
MI	Michigan 
MN	Minnesota            
MO	Missouri             
MS	Mississippi 
MT	Montana              
NC	North Carolina       
ND	North Dakota 
NE	Nebraska             
NH	New Hampshire        
NJ	New Jersey 
NM	New Mexico           
NV	Nevada               
NY	New York 
OH	Ohio                 
OK	Oklahoma             
OR	Oregon 
PA	Pennsylvania         
PR	Puerto Rico         
RI	Rhode Island 
SC	South Carolina       
SD	South Dakota         
TN	Tennessee 
TX	Texas                
UT	Utah                 
VA	Virginia 
VI	Virgin Islands      
VT	Vermont              
WA	Washington 
WI	Wisconsin            
WV	West Virginia        
WY	Wyoming


AS	American Samoa	
GU	Guam	
MP	Northern Mariana Islands	
PR	Puerto Rico	
VI	Virgin Islands	
UM	U.S. Minor Outlying Islands				
FM	Federated States of Micronesia	
MH	Marshall Islands	
PW	Palau	
AA	Armed Forces Americas (except Canada)	
AE	Armed Forces (Europe, Canada, Middle East, Africa)
AP	Armed Forces Pacific	
CZ	Canal Zone	
PI	Philippine Islands	
TT	Trust Territory of the Pacific Islands	
CM	Commonwealth of the Northern Mariana Islands	


